Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
d4fccef8-c615-43a8-bf27-fa75bb200d13,2017-06-17 10:13:45,Running,,14.87,1:25:46,5:46,10.41,1048.0,247,143,"","TomTom MySports Watch",2017-06-17-101345.gpx
86cdd8ff-11c5-4c6a-b221-3e65a88cc136,2017-06-15 18:54:32,Running,,12.80,1:06:15,5:10,11.59,901.0,128,147,"","TomTom MySports Watch",2017-06-15-185432.gpx
ba13aabc-d722-4803-9c1f-4e5043ecced6,2017-06-12 18:25:58,Running,,12.67,1:05:58,5:12,11.53,893.0,128,148,"","TomTom MySports Watch",2017-06-12-182558.gpx
f607c11e-85ad-492d-9cd3-df2f41d60c24,2017-06-04 16:01:52,Running,,21.02,2:02:14,5:49,10.32,1482.0,330,138,"","TomTom MySports Watch",2017-06-04-160152.gpx
7937624f-091c-4ba4-933f-15c22bf65c4a,2017-06-01 19:00:16,Running,,8.65,45:28,5:15,11.41,612.0,88,143,"","TomTom MySports Watch",2017-06-01-190016.gpx
58569994-61c8-400c-a647-114e161ff8df,2017-05-30 18:19:20,Running,,8.42,42:48,5:05,11.80,584.0,85,154,"","TomTom MySports Watch",2017-05-30-181920.gpx
524ed1b8-7056-4455-be45-331b472c21f7,2017-05-28 16:42:07,Running,,21.11,1:58:50,5:38,10.66,1477.0,337,143,"","TomTom MySports Watch",2017-05-28-164207.gpx
719a8602-3d87-471a-b74b-0621ea4c813d,2017-05-24 18:23:30,Running,,12.74,1:09:47,5:29,10.95,892.0,171,140,"","TomTom MySports Watch",2017-05-24-182330.gpx
88ada870-907d-43d0-9a5a-bc92c8c6b97b,2017-05-21 12:18:56,Running,,22.07,2:06:18,5:43,10.48,1569.0,354,146,"","TomTom MySports Watch",2017-05-21-121856.gpx
f53266a4-2f39-4c18-ad50-6fd60ab34285,2017-05-17 18:18:34,Running,,13.82,1:10:59,5:08,11.68,1000.0,128,,"","",2017-05-17-181834.gpx
8eef0492-ce75-4cd5-8de5-f94bb69ef4dc,2017-05-15 18:25:55,Running,,16.83,1:24:48,5:02,11.91,1177.0,167,151,"","TomTom MySports Watch",2017-05-15-182555.gpx
0edf90b1-2417-413a-96b6-368d01df8677,2017-05-10 18:40:04,Running,,8.53,43:24,5:05,11.79,595.0,87,146,"","TomTom MySports Watch",2017-05-10-184004.gpx
f5dd15c6-ffbd-48e5-aa1c-3777ed5a97c7,2017-05-03 18:32:01,Running,,12.43,1:04:04,5:09,11.64,865.0,125,151,"","TomTom MySports Watch",2017-05-03-183201.gpx
9a5c1022-08f3-4c9b-9cc5-492d4d7178f9,2017-05-01 17:38:35,Cycling,,20.19,54:29,2:42,22.24,491.0,204,135,"","TomTom MySports Watch",2017-05-01-173835.gpx
0c00d186-32b8-43ff-ad2b-a982a535e270,2017-04-29 17:05:47,Running,,21.18,2:02:14,5:46,10.39,1504.0,343,142,"","TomTom MySports Watch",2017-04-29-170547.gpx
51eb30dc-bc11-4296-bb7d-d40c83c60319,2017-04-25 18:44:32,Running,,8.68,44:46,5:09,11.63,606.0,86,150,"","TomTom MySports Watch",2017-04-25-184432.gpx
943aff3a-a7a5-49c6-a179-5d5111600f01,2017-04-23 11:50:12,Running,"Two roads - Irpin",19.27,1:50:24,5:44,10.47,1450.0,305,149,"","TomTom MySports Watch",2017-04-23-115012.gpx
51ab838c-9266-436d-b26a-eb6b0d7c0fa5,2017-04-17 16:20:08,Running,,15.00,1:21:03,5:24,11.10,1060.0,222,147,"","TomTom MySports Watch",2017-04-17-162008.gpx
